id;name;type;subtype;is_active;location_country;ville;nb_evenements;nb_membres;certifie;creation;code_insee
https://actionpopulaire.fr/groupes/14d34c25-9e90-47d6-a8cb-647aa16478bd/accueil/;Lfi;Local;1;FALSE;NC;98800 NOUMEA;NA;1;FALSE;Créé le mois dernier;99
https://actionpopulaire.fr/groupes/14decab7-617c-4567-b9ea-29e03e5ddfac/accueil/;Les Insoumis Pays De St Marcellin;Local;1;TRUE;FR;38160 CHATTE;NA;7;FALSE;Créé il y a 3 semaines;38
https://actionpopulaire.fr/groupes/14e473ef-ba91-421a-ae8a-1a9109ee0cd0/accueil/;Insoumis Du Verdanson;Local;1;FALSE;FR;34000 Montpellier;1;62;TRUE;Créé il y a 3 ans;34
https://actionpopulaire.fr/groupes/1536522f-a5bc-4ab9-b518-d0686609b4df/accueil/;Joinville Insoumise;Local;1;FALSE;FR;52300 Joinville;8;6;TRUE;Créé il y a 3 ans;52
https://actionpopulaire.fr/groupes/153914f8-0428-4b01-875a-1bd55e88eb2a/accueil/;France Insoumise Cergy;Local;1;FALSE;FR;95000 CERGY;3;10;TRUE;Créé il y a 9 mois;95
https://actionpopulaire.fr/groupes/1546d464-f951-468e-b929-c7a8c80e1a58/accueil/;Voix Du Peuple Insoumis D'aurillac Ouest Et Ytrac;Local;1;TRUE;FR;15130 Ytrac;9;8;TRUE;Créé il y a 3 ans;15
https://actionpopulaire.fr/groupes/1552ce06-a447-4f9b-b089-25a242c88423/accueil/;Comité D'appui D'arras;Fonctionnel;58;FALSE;FR;62000 Arras;9;9;TRUE;Créé il y a 2 ans;62
https://actionpopulaire.fr/groupes/15685680-0276-4d03-8e58-32629ee66d17/accueil/;Saint-Lô;Local;1;FALSE;FR;50000 Saint Lo;18;46;TRUE;Créé il y a 3 ans;50
https://actionpopulaire.fr/groupes/1574c004-233d-4396-af5c-94ca97fe6434/accueil/;Croix Insoumise;Local;1;FALSE;FR;59170 Croix;NA;19;FALSE;Créé il y a 3 ans;59
https://actionpopulaire.fr/groupes/158a3080-4285-49d7-bb8c-33816c2a556e/accueil/;Groupe D'action Lgbti De Lyon;Thématique;10;FALSE;FR;69002 LYON;2;8;TRUE;Créé il y a 2 ans;69
https://actionpopulaire.fr/groupes/15a3df00-53df-4b0c-b5a8-9f78f0aa9f6c/accueil/;Les Insoumis·es Herblinois·es;Local;1;TRUE;FR;44800 Saint-Herblain;29;37;TRUE;Créé il y a 3 ans;44
https://actionpopulaire.fr/groupes/15ab3add-ce57-4fd0-9a60-368e9f8dcb5c/accueil/;France Insoumise Lille Bois Blancs;Local;1;TRUE;FR;59000 Lille;62;18;TRUE;Créé il y a 3 ans;59
https://actionpopulaire.fr/groupes/15b47163-5d33-4410-8f1b-94e6321c79d5/accueil/;Insoumis De La Petite Mer;Local;1;FALSE;FR;56670 Riantec;NA;2;FALSE;Créé il y a 3 mois;56
https://actionpopulaire.fr/groupes/15bd8074-a9c6-427d-92a5-3c7e096ee2bb/accueil/;Saint-Vallier Et Environs;Local;1;TRUE;FR;71230 Saint-Vallier;6;16;TRUE;Créé l’année dernière;71
https://actionpopulaire.fr/groupes/15c14199-6542-459d-94cb-ea6da30de466/accueil/;Agroécologie Montpellier;Thématique;43;FALSE;FR;34070 Montpellier;NA;3;FALSE;Créé il y a 2 ans;34
https://actionpopulaire.fr/groupes/15df4599-1688-4413-ae80-a2cf2043c863/accueil/;Féministes Insoumis·es Montpellier;Thématique;22;FALSE;FR;34000 Montpellier;NA;13;FALSE;Créé il y a 3 ans;34
https://actionpopulaire.fr/groupes/160158d2-8a08-4764-beba-dfde5b8d9dd4/accueil/;Les Français De L'étranger Insoumis De Madagascar;Local;1;FALSE;MG;Antananarivo;NA;1;FALSE;Créé le mois dernier;99
https://actionpopulaire.fr/groupes/161119a9-0c26-438a-a2f6-1c3ce242b983/accueil/;Équipe De Soutien De Picpus;Soutien Nous Sommes Pour;66;TRUE;FR;75012 Paris;NA;4;FALSE;Créé il y a 3 mois;75
https://actionpopulaire.fr/groupes/161409b8-c9e7-4a01-b3ba-d89be5565c05/accueil/;Massy Est Insoumise;Local;1;FALSE;FR;91300 Massy;5;10;TRUE;Créé il y a 3 ans;91
https://actionpopulaire.fr/groupes/1617177b-5441-42c7-b9c3-eacd3f79c68a/accueil/;Groupe D'action Du Sud Toulousain;Local;1;TRUE;FR;31600 Muret;4;10;FALSE;Créé il y a 9 mois;31
https://actionpopulaire.fr/groupes/163b7a08-7aad-43d3-8593-cc51caeb4529/accueil/;Saint Maur Lfi;Local;1;TRUE;FR;94100 Saint Maur des fossés;3;11;FALSE;Créé il y a 3 semaines;94
https://actionpopulaire.fr/groupes/1648439b-2dd9-444e-b64f-b132a37c9932/accueil/;Groupe Thématique Droits Nouveaux & Lbgti+ - Paris;Thématique;10;TRUE;FR;75004 Paris;15;27;TRUE;Créé il y a 3 ans;75
https://actionpopulaire.fr/groupes/1652ed7a-67a5-4ff0-b154-2e1dff0e63c1/accueil/;L'avenir En Commun.e / Tarbes Insoumise;Local;1;FALSE;FR;65000 Tarbes;6;11;TRUE;Créé il y a 2 ans;65
https://actionpopulaire.fr/groupes/168a2d18-13ec-44be-a302-939a54100be0/accueil/;La France Insoumise Saint-André - La Madeleine;Local;1;FALSE;FR;59350 Saint André lez Lille;9;12;TRUE;Créé il y a 3 ans;59
https://actionpopulaire.fr/groupes/16966e64-d37b-4d1f-86f2-6084d51cd15d/accueil/;Groupe D'action L'eau Bien Commun - La Courneuve Pour Une Régie Publique;Thématique;17;FALSE;FR;93120 La Courneuve;NA;3;FALSE;Créé il y a 2 ans;93
https://actionpopulaire.fr/groupes/16a9d6ad-c990-457c-b5e0-81393a93a902/accueil/;Douai Insoumise;Local;1;TRUE;FR;59500 Douai;45;93;TRUE;Créé il y a 3 ans;59
https://actionpopulaire.fr/groupes/16aa3789-313c-4ec4-966e-3ac1b4dbb040/accueil/;Presse Et Médias;Thématique;2;TRUE;FR;75010 PARIS;1;64;FALSE;Créé il y a 3 ans;75
https://actionpopulaire.fr/groupes/16b1b4a3-2508-4894-bb87-900b4a78bf7a/accueil/;Tous Pour Melenchon;Soutien Nous Sommes Pour;66;TRUE;FR;93380 PIERREFITTE SUR SEINE;NA;2;FALSE;Créé il y a 3 mois;93
https://actionpopulaire.fr/groupes/16c69358-2ee3-402a-9f18-43da4d1f6781/accueil/;France Insoumise Prades Et Conflent;Local;1;TRUE;FR;66500 Prades;12;15;TRUE;Créé il y a 3 ans;66
